date;year;month;day_of_week;weekend;state;region;city;age;occupation;family_members;temperature;rain;consume
01/07/2023;2023;7;6;1;italy;emilia-romagna;modena;23;student;4;28;0;1000
02/07/2023;2023;7;7;1;italy;emilia-romagna;modena;23;student;4;30;0;900
03/07/2023;2023;7;1;0;italy;emilia-romagna;modena;23;student;4;28;1;600
04/07/2023;2023;7;2;0;italy;emilia-romagna;modena;23;student;4;28;1;700
05/07/2023;2023;7;3;0;italy;emilia-romagna;modena;23;student;4;32;0;600
06/07/2023;2023;7;4;0;italy;emilia-romagna;modena;23;student;4;28;0;700
07/07/2023;2023;7;5;0;italy;emilia-romagna;modena;23;student;4;28;0;800
08/07/2023;2023;7;6;1;italy;emilia-romagna;modena;23;student;4;29;0;900
09/07/2023;2023;7;7;1;italy;emilia-romagna;modena;23;student;4;31;0;1000
10/07/2023;2023;7;1;0;italy;emilia-romagna;modena;23;student;4;31;0;700
11/07/2023;2023;7;2;0;italy;emilia-romagna;modena;23;student;4;31;0;700
12/07/2023;2023;7;3;0;italy;emilia-romagna;modena;23;student;4;32;0;600
13/07/2023;2023;7;4;0;italy;emilia-romagna;modena;23;student;4;32;0;550
14/07/2023;2023;7;5;0;italy;emilia-romagna;modena;23;student;4;29;0;600
15/07/2023;2023;7;6;1;italy;emilia-romagna;modena;23;student;4;29;0;1000
16/07/2023;2023;7;7;1;italy;emilia-romagna;modena;23;student;4;31;0;900
17/07/2023;2023;7;1;0;italy;emilia-romagna;modena;23;student;4;28;0;800
18/07/2023;2023;7;2;0;italy;emilia-romagna;modena;23;student;4;30;0;700
19/07/2023;2023;7;3;0;italy;emilia-romagna;modena;23;student;4;31;0;700
20/07/2023;2023;7;4;0;italy;emilia-romagna;modena;23;student;4;31;0;400
21/07/2023;2023;7;5;0;italy;emilia-romagna;modena;23;student;4;30;0;600
22/07/2023;2023;7;6;1;italy;emilia-romagna;modena;23;student;4;28;0;1100
23/07/2023;2023;7;7;1;italy;emilia-romagna;modena;23;student;4;29;0;1000
24/07/2023;2023;7;1;0;italy;emilia-romagna;modena;23;student;4;32;0;500
25/07/2023;2023;7;2;0;italy;emilia-romagna;modena;23;student;4;32;0;450
26/07/2023;2023;7;3;0;italy;emilia-romagna;modena;23;student;4;29;0;600
27/07/2023;2023;7;4;0;italy;emilia-romagna;modena;23;student;4;32;0;700
28/07/2023;2023;7;5;0;italy;emilia-romagna;modena;23;student;4;30;0;800
29/07/2023;2023;7;6;1;italy;emilia-romagna;modena;23;student;4;29;0;1000
30/07/2023;2023;7;7;1;italy;emilia-romagna;modena;23;student;4;28;0;950
31/07/2023;2023;7;1;0;italy;emilia-romagna;modena;23;student;4;31;0;700
01/08/2023;2023;8;2;0;italy;emilia-romagna;modena;23;student;4;35;0;600
02/08/2023;2023;8;3;0;italy;emilia-romagna;modena;23;student;4;36;1;650
